iter. count	ObjectiveValue	Parameters	TimeSoFar
5180	-1.30787	1	296694
5200	-1.29739	1	297726
5249	-1.30885	1	300410
5250	-1.28573	1	300470
5300	-1.30637	1	303173
5350	-1.29671	1	305917
5400	-1.29769	1	308630
5415	-1.31102	1	309517
5450	-1.30178	1	311377
5464	-1.31152	1	312136
5468	-1.31172	1	312333
5484	-1.31195	1	313231
5500	-1.30824	1	314074
5524	-1.31575	1	315354
5550	-1.30535	1	316772
5577	-1.31651	1	318311
5600	-1.30431	1	319515
5646	-1.3174	1	322001
5650	-1.30605	1	322199
5692	-1.32069	1	324556
5700	-1.3093	1	324974
5750	-1.30526	1	327744
5800	-1.30857	1	330623
5850	-1.30413	1	334072
5900	-1.31351	1	337756
5950	-1.30701	1	341841
6000	-1.3147	1	346035
6016	-1.32123	1	347502
6017	-1.32215	1	347589
6033	-1.32383	1	349015
6050	-1.3078	1	350332
6100	-1.31119	1	353420
6150	-1.31533	1	356707
6200	-1.3045	1	359840
6250	-1.31104	1	363323
6264	-1.32465	1	364276
6300	-1.31443	1	366513
6350	-1.31735	1	369713
6400	-1.31939	1	372809
6434	-1.32615	1	374882
6445	-1.32709	1	375563
6450	-1.31598	1	375877
6500	-1.31548	1	379056
6514	-1.32724	1	379885
6524	-1.32745	1	380496
6550	-1.32839	1	382080
6556	-1.33004	1	382445
6563	-1.33323	1	382862
6600	-1.31873	1	385087
6650	-1.32003	1	388097
6651	-1.33495	1	388170
6700	-1.32239	1	391086
6750	-1.31696	1	394128
6800	-1.31723	1	397106
6850	-1.32167	1	400122
6879	-1.33511	1	401888
6896	-1.33597	1	402865
6900	-1.32097	1	403086
6924	-1.33757	1	404547
6931	-1.33777	1	404988
6950	-1.32586	1	406074
7000	-1.32903	1	408994
7050	-1.32687	1	411872
7052	-1.34233	1	411995
7100	-1.33257	1	414749
7150	-1.33393	1	417616
7200	-1.33748	1	420795
7241	-1.34465	1	423722
7250	-1.33317	1	424361
7300	-1.33683	1	428102
7350	-1.33721	1	431886
7379	-1.34467	1	433798
7381	-1.34533	1	433920
7400	-1.34265	1	435093
7422	-1.34761	1	436405
7450	-1.32907	1	438074
7483	-1.349	1	440041
7484	-1.3531	1	440090
7500	-1.34048	1	441064
7550	-1.33938	1	444137
7600	-1.34072	1	447164
7650	-1.34587	1	450093
7700	-1.34621	1	453129
7750	-1.34647	1	456250
7794	-1.35382	1	458951
7800	-1.34061	1	459300
7850	-1.3536	1	462473
7900	-1.35246	1	465568
7908	-1.35471	1	466091
7950	-1.35238	1	468710
8000	-1.35042	1	471849
8015	-1.3577	1	472796
8050	-1.35405	1	474835
8083	-1.35945	1	476830
8100	-1.35023	1	477867
8101	-1.35954	1	478051
8150	-1.3514	1	481090
8196	-1.3601	1	484068
8200	-1.35416	1	484298
8239	-1.36044	1	486744
8250	-1.35454	1	487425
8252	-1.36268	1	487585
8300	-1.35302	1	490474
8306	-1.3649	1	490866
8350	-1.3596	1	493550
8400	-1.34517	1	496616
8450	-1.35372	1	499660
8500	-1.35185	1	502659
8501	-1.36577	1	502789
8550	-1.35287	1	506440
8600	-1.3546	1	509359
8650	-1.35812	1	512120
8700	-1.35341	1	514941
8750	-1.35065	1	518466
8800	-1.3568	1	522295
8850	-1.3592	1	526133
8900	-1.35849	1	530444
8950	-1.35172	1	533641
